# fylite/ids-table/1
# dd_version 4.1.1
# ids refractometer
# columns path kind ndim units coordinates same_as alternatives
ids_properties	S	0				
ids_properties/comment	T	0				
ids_properties/name	T	0				
ids_properties/homogeneous_time	I	0				
ids_properties/occurrence_type	S	0				
ids_properties/occurrence_type/name	T	0				
ids_properties/occurrence_type/index	I	0				
ids_properties/occurrence_type/description	T	0				
ids_properties/provider	T	0				
ids_properties/creation_date	T	0				
ids_properties/version_put	S	0				
ids_properties/version_put/data_dictionary	T	0				
ids_properties/version_put/access_layer	T	0				
ids_properties/version_put/access_layer_language	T	0				
ids_properties/provenance	S	0				
ids_properties/provenance/node	A	1		1...N		
ids_properties/provenance/node/path	T	0				
ids_properties/provenance/node/reference	A	1		1...N		
ids_properties/provenance/node/reference/name	T	0				
ids_properties/provenance/node/reference/timestamp	T	0				
ids_properties/plugins	S	0				
ids_properties/plugins/node	A	1		1...N		
ids_properties/plugins/node/path	T	0				
ids_properties/plugins/node/put_operation	A	1		1...N		
ids_properties/plugins/node/put_operation/name	T	0				
ids_properties/plugins/node/put_operation/description	T	0				
ids_properties/plugins/node/put_operation/commit	T	0				
ids_properties/plugins/node/put_operation/version	T	0				
ids_properties/plugins/node/put_operation/repository	T	0				
ids_properties/plugins/node/put_operation/parameters	T	0				
ids_properties/plugins/node/put_operation/library	A	1		1...N		
ids_properties/plugins/node/put_operation/library/name	T	0				
ids_properties/plugins/node/put_operation/library/description	T	0				
ids_properties/plugins/node/put_operation/library/commit	T	0				
ids_properties/plugins/node/put_operation/library/version	T	0				
ids_properties/plugins/node/put_operation/library/repository	T	0				
ids_properties/plugins/node/put_operation/library/parameters	T	0				
ids_properties/plugins/node/readback	A	1		1...N		
ids_properties/plugins/node/readback/name	T	0				
ids_properties/plugins/node/readback/description	T	0				
ids_properties/plugins/node/readback/commit	T	0				
ids_properties/plugins/node/readback/version	T	0				
ids_properties/plugins/node/readback/repository	T	0				
ids_properties/plugins/node/readback/parameters	T	0				
ids_properties/plugins/node/readback/library	A	1		1...N		
ids_properties/plugins/node/readback/library/name	T	0				
ids_properties/plugins/node/readback/library/description	T	0				
ids_properties/plugins/node/readback/library/commit	T	0				
ids_properties/plugins/node/readback/library/version	T	0				
ids_properties/plugins/node/readback/library/repository	T	0				
ids_properties/plugins/node/readback/library/parameters	T	0				
ids_properties/plugins/node/get_operation	A	1		1...N		
ids_properties/plugins/node/get_operation/name	T	0				
ids_properties/plugins/node/get_operation/description	T	0				
ids_properties/plugins/node/get_operation/commit	T	0				
ids_properties/plugins/node/get_operation/version	T	0				
ids_properties/plugins/node/get_operation/repository	T	0				
ids_properties/plugins/node/get_operation/parameters	T	0				
ids_properties/plugins/node/get_operation/library	A	1		1...N		
ids_properties/plugins/node/get_operation/library/name	T	0				
ids_properties/plugins/node/get_operation/library/description	T	0				
ids_properties/plugins/node/get_operation/library/commit	T	0				
ids_properties/plugins/node/get_operation/library/version	T	0				
ids_properties/plugins/node/get_operation/library/repository	T	0				
ids_properties/plugins/node/get_operation/library/parameters	T	0				
ids_properties/plugins/infrastructure_put	S	0				
ids_properties/plugins/infrastructure_put/name	T	0				
ids_properties/plugins/infrastructure_put/description	T	0				
ids_properties/plugins/infrastructure_put/commit	T	0				
ids_properties/plugins/infrastructure_put/version	T	0				
ids_properties/plugins/infrastructure_put/repository	T	0				
ids_properties/plugins/infrastructure_get	S	0				
ids_properties/plugins/infrastructure_get/name	T	0				
ids_properties/plugins/infrastructure_get/description	T	0				
ids_properties/plugins/infrastructure_get/commit	T	0				
ids_properties/plugins/infrastructure_get/version	T	0				
ids_properties/plugins/infrastructure_get/repository	T	0				
type	T	0				
channel	A	1		1...N		
channel/name	T	0				
channel/description	T	0				
channel/mode	T	0				
channel/line_of_sight	S	0				
channel/line_of_sight/first_point	S	0				
channel/line_of_sight/first_point/r	F	0	m			
channel/line_of_sight/first_point/phi	F	0	rad			
channel/line_of_sight/first_point/z	F	0	m			
channel/line_of_sight/second_point	S	0				
channel/line_of_sight/second_point/r	F	0	m			
channel/line_of_sight/second_point/phi	F	0	rad			
channel/line_of_sight/second_point/z	F	0	m			
channel/bandwidth	A	1		1...N		
channel/bandwidth/frequency_main	F	0	Hz			
channel/bandwidth/phase	F	1	rad	channel(i1)/bandwidth(i2)/time		
channel/bandwidth/i_component	F	2	V	1...N|channel(i1)/bandwidth(i2)/time	channel(i1)/bandwidth(i2)/time_detector|	
channel/bandwidth/q_component	F	2	V	1...N|channel(i1)/bandwidth(i2)/time	channel(i1)/bandwidth(i2)/time_detector|	
channel/bandwidth/n_e_line	S	0	m^-2			
channel/bandwidth/n_e_line/data	F	1	m^-2	channel(i1)/bandwidth(i2)/n_e_line/time		
channel/bandwidth/n_e_line/time	F	1	s	1...N		
channel/bandwidth/phase_quadrature	S	0	V			
channel/bandwidth/phase_quadrature/data	F	2	V	1...2|channel(i1)/bandwidth(i2)/phase_quadrature/time		
channel/bandwidth/phase_quadrature/time	F	1	s	1...N		
channel/bandwidth/time_detector	F	2	s	1...N|channel(i1)/bandwidth(i2)/time		
channel/bandwidth/time	F	1	s	1...N		
channel/n_e_line	S	0	m^-2			
channel/n_e_line/data	F	1	m^-2	channel(i1)/n_e_line/time		
channel/n_e_line/time	F	1	s	1...N		
channel/n_e_profile_approximation	S	0				
channel/n_e_profile_approximation/formula	S	0				
channel/n_e_profile_approximation/formula/name	T	0				
channel/n_e_profile_approximation/formula/index	I	0				
channel/n_e_profile_approximation/formula/description	T	0				
channel/n_e_profile_approximation/parameters	F	2	mixed	1...N|channel(i1)/n_e_line/time		
latency	F	0	s			
code	S	0				
code/name	T	0				
code/description	T	0				
code/commit	T	0				
code/version	T	0				
code/repository	T	0				
code/parameters	T	0				
code/output_flag	I	1		time		
code/library	A	1		1...N		
code/library/name	T	0				
code/library/description	T	0				
code/library/commit	T	0				
code/library/version	T	0				
code/library/repository	T	0				
code/library/parameters	T	0				
time	F	1	s	1...N		
